Lineitem sku,Type,Size,Color,,date,stock
N0000,standard,XS,black,standardblackXS,2021/04/08,19
N0001,standard,S,black,standardblackS,2021/04/08,75
N0002,standard,M,black,standardblackM,2021/04/08,307
N0003,standard,L,black,standardblackL,2021/04/08,114
N0004,standard,XL,black,standardblackXL,2021/04/08,30
N0010,standard,XS,purple,standardpurpleXS,2021/04/08,19
N0011,standard,S,purple,standardpurpleS,2021/04/08,47
N0012,standard,M,purple,standardpurpleM,2021/04/08,185
N0013,standard,L,purple,standardpurpleL,2021/04/08,71
N0014,standard,XL,purple,standardpurpleXL,2021/04/08,20
N0031,standard,S,beige,standardbeigeS,2021/04/08,19
N0032,standard,M,beige,standardbeigeM,2021/04/08,113
N0033,standard,L,beige,standardbeigeL,2021/04/08,35
N0034,standard,XL,beige,standardbeigeXL,2021/04/08,12
N0040,standard,XS,green,standardgreenXS,2021/04/08,20
N0041,standard,S,green,standardgreenS,2021/04/08,76
N0042,standard,M,green,standardgreenM,2021/04/08,309
N0043,standard,L,green,standardgreenL,2021/04/08,120
N0044,standard,XL,green,standardgreenXL,2021/04/08,25
N0051,standard,S,azuki,standardazukiS,2021/04/08,75
N0052,standard,M,azuki,standardazukiM,2021/04/08,365
N0053,standard,L,azuki,standardazukiL,2021/04/08,145
N0054,standard,XL,azuki,standardazukiXL,2021/04/08,36
N0101,slim,S,black,slimblackS,2021/04/08,54
N0102,slim,M,black,slimblackM,2021/04/08,136
N0103,slim,L,black,slimblackL,2021/04/08,43
N0104,slim,XL,black,slimblackXL,2021/04/08,19
N0111,slim,S,orange,slimorangeS,2021/04/08,41
N0112,slim,M,orange,slimorangeM,2021/04/08,105
N0113,slim,L,orange,slimorangeL,2021/04/08,30
N0114,slim,XL,orange,slimorangeXL,2021/04/08,4
N0131,slim,S,green,slimgreenS,2021/04/08,34
N0132,slim,M,green,slimgreenM,2021/04/08,115
N0133,slim,L,green,slimgreenL,2021/04/08,14
N0134,slim,XL,green,slimgreenXL,2021/04/08,8
N0200,full,XS,black,fullblackXS,2021/04/08,46
N0201,full,S,black,fullblackS,2021/04/08,131
N0202,full,M,black,fullblackM,2021/04/08,485
N0203,full,L,black,fullblackL,2021/04/08,340
N0204,full,XL,black,fullblackXL,2021/04/08,129
N0210,full,XS,blue,fullblueXS,2021/04/08,20
N0211,full,S,blue,fullblueS,2021/04/08,77
N0212,full,M,blue,fullblueM,2021/04/08,299
N0213,full,L,blue,fullblueL,2021/04/08,195
N0214,full,XL,blue,fullblueXL,2021/04/08,88
N0230,full,XS,orange,fullorangeXS,2021/04/08,24
N0231,full,S,orange,fullorangeS,2021/04/08,49
N0232,full,M,orange,fullorangeM,2021/04/08,168
N0233,full,L,orange,fullorangeL,2021/04/08,130
N0234,full,XL,orange,fullorangeXL,2021/04/08,45
N0240,full,XS,green,fullgreenXS,2021/04/08,27
N0241,full,S,green,fullgreenS,2021/04/08,62
N0242,full,M,green,fullgreenM,2021/04/08,234
N0243,full,L,green,fullgreenL,2021/04/08,163
N0244,full,XL,green,fullgreenXL,2021/04/08,71
N0251,full,S,azuki,fullazukiS,2021/04/08,95
N0252,full,M,azuki,fullazukiM,2021/04/08,476
N0253,full,L,azuki,fullazukiL,2021/04/08,177
N0254,full,XL,azuki,fullazukiXL,2021/04/08,51
